Geo Point;Geo Shape;Nombre;Descripcion;timestamp;begin;end;altitudeMo;tessellate;extrude;visibility;drawOrder;icon;Areas_Esco;gx_media_l
39.46398387324271, -0.3707383127590042;"{""coordinates"": [[[-0.360698, 39.4622483, 0.0], [-0.3627886, 39.4624579, 0.0], [-0.3807272, 39.4549364, 0.0], [-0.37661, 39.4672069, 0.0], [-0.3761862, 39.4673394, 0.0], [-0.3750739, 39.4670989, 0.0], [-0.3720583, 39.4689847, 0.0], [-0.3684963, 39.4721981, 0.0], [-0.3667817, 39.4727067, 0.0], [-0.362059, 39.4660692, 0.0], [-0.3608753, 39.4631866, 0.0], [-0.3605141, 39.4625573, 0.0], [-0.360698, 39.4622483, 0.0]]], ""type"": ""Polygon""}";Districte II;Xàtiva/Colón/Justicia/Ciudadela/J.Benavente/Alcalde Reig/A. Regne/Peris i Valero/Víes del Ferrocarril/Gibraltar/Alicante/Xàtiva. Incluye la Estación del Norte.;;;;;-1;0;-1;0;;1;
39.484850729726354, -0.3995870159070037;"{""coordinates"": [[[-0.4056878, 39.4747243, 0.0], [-0.4102583, 39.4756932, 0.0], [-0.4113795, 39.4762004, 0.0], [-0.4119428, 39.477337, 0.0], [-0.4123559, 39.4776787, 0.0], [-0.4132491, 39.478926, 0.0], [-0.4107774, 39.4808416, 0.0], [-0.4097347, 39.4819152, 0.0], [-0.4093571, 39.4833532, 0.0], [-0.4063853, 39.4831545, 0.0], [-0.4049583, 39.4874603, 0.0], [-0.4084344, 39.492097, 0.0], [-0.4108703, 39.4958304, 0.0], [-0.4079624, 39.4966838, 0.0], [-0.4047765, 39.4976103, 0.0], [-0.4044015, 39.4971956, 0.0], [-0.4019649, 39.4983146, 0.0], [-0.398478, 39.4935542, 0.0], [-0.3965039, 39.491534, 0.0], [-0.3942723, 39.4899111, 0.0], [-0.3908391, 39.4881558, 0.0], [-0.3895087, 39.4886195, 0.0], [-0.3881784, 39.4873609, 0.0], [-0.385303, 39.4851087, 0.0], [-0.3818698, 39.4826576, 0.0], [-0.3841872, 39.4816639, 0.0], [-0.3876419, 39.4800574, 0.0], [-0.3911824, 39.4789478, 0.0], [-0.3931995, 39.47807, 0.0], [-0.3980489, 39.4760493, 0.0], [-0.4056878, 39.4747243, 0.0]]], ""type"": ""Polygon""}";Districte IV (Campanar);Tirso de Molina, Menéndez Pidal, Av. Burjassot, Dr. Nicasio Benlloch, Camino Nuevo de Paterna, Límite Municipal, Manuel de Falla, Tirso de Molina, Beniferri.;;;;;-1;0;-1;0;;2;
39.494505757600734, -0.3923878088917444;"{""coordinates"": [[[-0.3907933, 39.4882413, 0.0], [-0.3961577, 39.4856947, 0.0], [-0.4044833, 39.4972199, 0.0], [-0.4011655, 39.4987188, 0.0], [-0.3985477, 39.4997454, 0.0], [-0.3944278, 39.5027257, 0.0], [-0.3926683, 39.5027919, 0.0], [-0.3910375, 39.5019475, 0.0], [-0.3862687, 39.4975631, 0.0], [-0.381403, 39.4986608, 0.0], [-0.3813171, 39.4972823, 0.0], [-0.3801691, 39.4938837, 0.0], [-0.3831893, 39.493209, 0.0], [-0.3821755, 39.4901746, 0.0], [-0.3907933, 39.4882413, 0.0]]], ""type"": ""Polygon""}";Districte XVI (Benicalap);General Avilés, Peset Aleixandre, Juan XIII, Pedro Cabanes, Camino de Moncada, Límite Municipal, Av. Corts Valencianes, General Avilés.;;;;;-1;0;-1;0;;2;
39.48686799959537, -0.3779686625475272;"{""coordinates"": [[[-0.3819476, 39.4826328, 0.0], [-0.3857618, 39.4854704, 0.0], [-0.3876342, 39.4869555, 0.0], [-0.3885489, 39.487698, 0.0], [-0.3893698, 39.4884922, 0.0], [-0.3855579, 39.4894182, 0.0], [-0.38166, 39.4903109, 0.0], [-0.3739284, 39.4920132, 0.0], [-0.3713534, 39.4900923, 0.0], [-0.3685102, 39.4878733, 0.0], [-0.3693338, 39.4872626, 0.0], [-0.3698743, 39.4867462, 0.0], [-0.3703075, 39.4863125, 0.0], [-0.373644, 39.4805948, 0.0], [-0.3753177, 39.4817292, 0.0], [-0.3772382, 39.4827354, 0.0], [-0.3790406, 39.4828968, 0.0], [-0.3804193, 39.4829672, 0.0], [-0.3819476, 39.4826328, 0.0]]], ""type"": ""Polygon""}";Districte V;Av. Burjassot, Av. Dr. Peset Alexandre, Av. Primado Reig, C/ Almazora, Cronista Rivelles, Guadalaviar, Zaidia, Av. Burjassot. Inclou edifice Policia Autonómica (Estació Pont de Fusta).;;;;;-1;0;-1;0;;3;
39.44861042838124, -0.39130862472383776;"{""coordinates"": [[[-0.3807566, 39.4550866, 0.0], [-0.3833669, 39.4453094, 0.0], [-0.3848182, 39.4426927, 0.0], [-0.386671, 39.4383469, 0.0], [-0.3905197, 39.4387818, 0.0], [-0.3931805, 39.4394944, 0.0], [-0.39523, 39.4402226, 0.0], [-0.400611, 39.4430241, 0.0], [-0.405659, 39.4486423, 0.0], [-0.3993879, 39.4536618, 0.0], [-0.3972512, 39.4518041, 0.0], [-0.3949, 39.4500623, 0.0], [-0.3883311, 39.4594936, 0.0], [-0.388877, 39.4599431, 0.0], [-0.3874299, 39.461349, 0.0], [-0.3879547, 39.4622243, 0.0], [-0.3869579, 39.4626486, 0.0], [-0.3820326, 39.455943, 0.0], [-0.3807566, 39.4550866, 0.0]]], ""type"": ""Polygon""}";Districte IX;Gaspar Aguilar/Jesús/Callosa d'Ensarrià/Lladró i Mallí/Giorgeta/García Lorca/Cauce nuevo del río/Campos Crespo/Avda.Mandingorra/Gaspar Aguilar. Además para el CEIP Jesús: Fontanares/Pío XI/Cuenca/Pérez Galdós/Lladró i Mallí. Se incluye ademe;;;;;-1;0;-1;0;;4;
39.463421593400994, -0.3475700303189704;"{""coordinates"": [[[-0.3583014, 39.4637385, 0.0], [-0.3542837, 39.4714879, 0.0], [-0.3446277, 39.4686057, 0.0], [-0.3438767, 39.4687879, 0.0], [-0.3434905, 39.4683241, 0.0], [-0.3355082, 39.4659718, 0.0], [-0.3362232, 39.4642218, 0.0], [-0.3377304, 39.4625636, 0.0], [-0.3401766, 39.4608738, 0.0], [-0.3439446, 39.4585151, 0.0], [-0.3409585, 39.4578281, 0.0], [-0.341507, 39.4549427, 0.0], [-0.3438244, 39.4546114, 0.0], [-0.3458414, 39.4548433, 0.0], [-0.3471718, 39.4554729, 0.0], [-0.3489742, 39.4567983, 0.0], [-0.3530512, 39.4597473, 0.0], [-0.3570852, 39.4615033, 0.0], [-0.3583014, 39.4637385, 0.0]]], ""type"": ""Polygon""}";Districte XII;Santos Justo y Pastor, Cardenal Benlloch, Educardo Boscá, Cauce viejo del Río, Vía del tren, Ibiza, Serrería, Satos Justo y Pastor, Incluy ciutat de les Arts i les Ciències, Institut de Biomecánica.;;;;;-1;0;-1;0;;7;
39.499784749525645, -0.41797481773271145;"{""coordinates"": [[[-0.425194, 39.494331, 0.0], [-0.4285843, 39.4972453, 0.0], [-0.4317387, 39.5058715, 0.0], [-0.4280587, 39.5067076, 0.0], [-0.4256876, 39.5071296, 0.0], [-0.4241855, 39.5056479, 0.0], [-0.4230268, 39.5060535, 0.0], [-0.4227479, 39.5071462, 0.0], [-0.4180272, 39.5056231, 0.0], [-0.4122336, 39.5036033, 0.0], [-0.4044015, 39.4971956, 0.0], [-0.4019928, 39.4982595, 0.0], [-0.4000134, 39.4955481, 0.0], [-0.4055817, 39.4934038, 0.0], [-0.4084344, 39.492097, 0.0], [-0.4108703, 39.4958304, 0.0], [-0.4165195, 39.4956024, 0.0], [-0.4184778, 39.4931885, 0.0], [-0.4216965, 39.4956227, 0.0], [-0.425194, 39.494331, 0.0]]], ""type"": ""Polygon""}";Districte XVIII (Poblats de l'Oest);Benimàmet, Beniferri;;;;;-1;0;-1;0;;2;
39.468730334871694, -0.40373851842976444;"{""coordinates"": [[[-0.4130695, 39.4632335, 0.0], [-0.4126511, 39.4643041, 0.0], [-0.4128334, 39.4658716, 0.0], [-0.4114172, 39.4660393, 0.0], [-0.4114065, 39.466322, 0.0], [-0.4119697, 39.4666124, 0.0], [-0.4126591, 39.4668156, 0.0], [-0.4127248, 39.4670911, 0.0], [-0.4146888, 39.4669804, 0.0], [-0.4146516, 39.4678112, 0.0], [-0.4154512, 39.467466, 0.0], [-0.4157034, 39.4677372, 0.0], [-0.4162345, 39.4679754, 0.0], [-0.4176936, 39.4685345, 0.0], [-0.4209659, 39.469371, 0.0], [-0.4182684, 39.4693773, 0.0], [-0.4155708, 39.4696485, 0.0], [-0.4159048, 39.4699509, 0.0], [-0.4141681, 39.4707998, 0.0], [-0.4124742, 39.4713174, 0.0], [-0.4111921, 39.4725763, 0.0], [-0.4083059, 39.4728081, 0.0], [-0.405849, 39.473189, 0.0], [-0.3960236, 39.4749822, 0.0], [-0.3903832, 39.4671017, 0.0], [-0.3935724, 39.4676939, 0.0], [-0.3957317, 39.4679547, 0.0], [-0.3946803, 39.4654699, 0.0], [-0.3961823, 39.4640122, 0.0], [-0.4061387, 39.4635483, 0.0], [-0.4130695, 39.4632335, 0.0]]], ""type"": ""Polygon""}";Districte VII;Tres Forques, Arxiduc Carles, Enguera, Av. del Cid, Pérez Galdós, Paseo de la Petxina, Límit de Mislata, Límit de Xirivella, Tres Forques. Els alumnes residents al Barri de la Llum podrán sol·licitar en igualtat de condicions el CEIP Vicente Tosca;;;;;-1;0;-1;0;;4;
39.43916198113849, -0.4082582620644951;"{""coordinates"": [[[-0.3872154, 39.4360331, 0.0], [-0.3898332, 39.4295695, 0.0], [-0.3925798, 39.4295695, 0.0], [-0.3983305, 39.4310612, 0.0], [-0.4001329, 39.4326191, 0.0], [-0.4057119, 39.435105, 0.0], [-0.4075573, 39.4362983, 0.0], [-0.410733, 39.436464, 0.0], [-0.4136083, 39.4362651, 0.0], [-0.4192731, 39.4357017, 0.0], [-0.4226205, 39.4358674, 0.0], [-0.4257963, 39.4362651, 0.0], [-0.4286287, 39.4385852, 0.0], [-0.4286716, 39.4391155, 0.0], [-0.424423, 39.4418001, 0.0], [-0.4134367, 39.4488922, 0.0], [-0.4112051, 39.4504166, 0.0], [-0.4097889, 39.4500189, 0.0], [-0.4042528, 39.4427281, 0.0], [-0.3960989, 39.4378229, 0.0], [-0.3872154, 39.4360331, 0.0]]], ""type"": ""Polygon""}";Districte IX;Faitanar i Barri de La Torre;;;;;-1;0;-1;0;;4;
39.44533235506586, -0.37680539576291255;"{""coordinates"": [[[-0.3807272, 39.4549364, 0.0], [-0.3756203, 39.456936, 0.0], [-0.3686683, 39.4466682, 0.0], [-0.3702019, 39.4366864, 0.0], [-0.3864882, 39.4381448, 0.0], [-0.3848474, 39.4425255, 0.0], [-0.3833883, 39.4452763, 0.0], [-0.3807272, 39.4549364, 0.0]]], ""type"": ""Polygon""}";Districte X-A;Peris i Valero/Ausias March/Cauce nuevo del río/vía del ferrocarril/Peris i Valero.;;;;;-1;0;-1;0;;5;
