Geo Point;Geo Shape;Nombre;Descripción;timestamp;begin;end;altitudeMo;tessellate;extrude;visibility;drawOrder;icon;gx_media_l;Areas_Esco
39.43916198113849, -0.4082582620644951;"{""coordinates"": [[[-0.3872154, 39.4360331, 0.0], [-0.3898332, 39.4295695, 0.0], [-0.3925798, 39.4295695, 0.0], [-0.3983305, 39.4310612, 0.0], [-0.4001329, 39.4326191, 0.0], [-0.4057119, 39.435105, 0.0], [-0.4075573, 39.4362983, 0.0], [-0.410733, 39.436464, 0.0], [-0.4136083, 39.4362651, 0.0], [-0.4192731, 39.4357017, 0.0], [-0.4226205, 39.4358674, 0.0], [-0.4257963, 39.4362651, 0.0], [-0.4286287, 39.4385852, 0.0], [-0.4286716, 39.4391155, 0.0], [-0.424423, 39.4418001, 0.0], [-0.4134367, 39.4488922, 0.0], [-0.4112051, 39.4504166, 0.0], [-0.4097889, 39.4500189, 0.0], [-0.4042528, 39.4427281, 0.0], [-0.3960989, 39.4378229, 0.0], [-0.3872154, 39.4360331, 0.0]]], ""type"": ""Polygon""}";Àrea 3-Secundària/Batxillerat;Faitanar i Barri de La Torre;;;;;-1;0;-1;0;;;3
39.4810926039149, -0.36053868415233203;"{""coordinates"": [[[-0.3498941, 39.4890851, 0.0], [-0.3502339, 39.4871498, 0.0], [-0.3508312, 39.4852807, 0.0], [-0.3518756, 39.4819568, 0.0], [-0.3523121, 39.4805915, 0.0], [-0.3538644, 39.479458, 0.0], [-0.3546871, 39.4779601, 0.0], [-0.3520184, 39.4771734, 0.0], [-0.3531304, 39.4745221, 0.0], [-0.3557052, 39.4692465, 0.0], [-0.3587951, 39.4632747, 0.0], [-0.3595247, 39.4641196, 0.0], [-0.3616919, 39.4687081, 0.0], [-0.3677001, 39.4762115, 0.0], [-0.3686441, 39.4766587, 0.0], [-0.3717127, 39.478464, 0.0], [-0.3747679, 39.480572, 0.0], [-0.3742932, 39.4810584, 0.0], [-0.3736228, 39.4810294, 0.0], [-0.3708012, 39.4858487, 0.0], [-0.3690038, 39.4874095, 0.0], [-0.3678717, 39.4882848, 0.0], [-0.3671851, 39.4888146, 0.0], [-0.3662118, 39.4892349, 0.0], [-0.3640516, 39.4905215, 0.0], [-0.3619771, 39.4916755, 0.0], [-0.35664, 39.4943051, 0.0], [-0.3560079, 39.4939011, 0.0], [-0.3529938, 39.4920065, 0.0], [-0.3510148, 39.490877, 0.0], [-0.3498941, 39.4890851, 0.0]]], ""type"": ""Polygon""}";Àrea 5 - Secundària/Batxillerat;Cauce viejo del río/Eduardo Boscà/ Cardenal Benlloch/Clariano/Palancia/Avda. Cataluña/Límite de Alboraia/Alfahuir/Cauce viejo del río. Inclou edifici de Policia Autonòmica i Palau de la Música.;;;;;-1;0;-1;0;;;5
39.474319544033335, -0.3435228313051043;"{""coordinates"": [[[-0.3495404, 39.4886942, 0.0], [-0.3489396, 39.4873363, 0.0], [-0.3463647, 39.4851172, 0.0], [-0.3439185, 39.4846204, 0.0], [-0.3418586, 39.4837592, 0.0], [-0.3398845, 39.4835273, 0.0], [-0.3347346, 39.4840904, 0.0], [-0.3330609, 39.4839911, 0.0], [-0.3315589, 39.4850841, 0.0], [-0.3313308, 39.4855221, 0.0], [-0.3335759, 39.4753125, 0.0], [-0.3352067, 39.4658046, 0.0], [-0.3367946, 39.463386, 0.0], [-0.3384763, 39.4617369, 0.0], [-0.3562781, 39.4670636, 0.0], [-0.3516433, 39.4773994, 0.0], [-0.3544757, 39.4782607, 0.0], [-0.3538644, 39.479458, 0.0], [-0.3522441, 39.4803144, 0.0], [-0.3495404, 39.4886942, 0.0]]], ""type"": ""Polygon""}";Àrea 7 - Secundària/Batxillerat;Avda. del Puerto/Cardenal Benlloch/Clariano/Palancia/Avda.Cataluña/Límite de Alboraia/Ingeniero Fausto Elio/Lluís Peixò/Blas de Lezo/Bulevar de Serrería/Avda. del Puerto.;;;;;-1;0;-1;0;;;7
39.45014022826721, -0.3594380755714377;"{""coordinates"": [[[-0.3699774, 39.4367704, 0.0], [-0.3684325, 39.4464481, 0.0], [-0.3756845, 39.4572342, 0.0], [-0.3807915, 39.4552346, 0.0], [-0.3781631, 39.463071, 0.0], [-0.3764167, 39.4672401, 0.0], [-0.3751381, 39.4673971, 0.0], [-0.3714576, 39.4696697, 0.0], [-0.3685605, 39.4724963, 0.0], [-0.3668459, 39.4730049, 0.0], [-0.3649234, 39.4700229, 0.0], [-0.3627722, 39.4670356, 0.0], [-0.3613078, 39.4641808, 0.0], [-0.3607622, 39.4625465, 0.0], [-0.3578753, 39.4597029, 0.0], [-0.3545279, 39.4586426, 0.0], [-0.3520388, 39.4567871, 0.0], [-0.3491206, 39.4553291, 0.0], [-0.346374, 39.4542687, 0.0], [-0.3415674, 39.4538711, 0.0], [-0.3414815, 39.4399523, 0.0], [-0.3414518, 39.4395767, 0.0], [-0.3425565, 39.4388028, 0.0], [-0.3439933, 39.4350024, 0.0], [-0.3436816, 39.4321741, 0.0], [-0.3425676, 39.429401, 0.0], [-0.3583903, 39.4349807, 0.0], [-0.3621668, 39.4359751, 0.0], [-0.3671762, 39.436587, 0.0], [-0.3699774, 39.4367704, 0.0]]], ""type"": ""Polygon""}";Àrea 4-A - Secundària/Batxillerat;Ausias March/Peris i Valero/Vía del Ferrocarril/Gibraltar/ Alicante/Xàtiva/ Colón/ Justicia/Cauce viejo del río/Vía del Ferrocarril/Cauce Nuevo del río/Avda. Ausias March.  Incluye Ciutat de les Arts i les Ciències i el Institut de Biomecànica.;;;;;-1;0;-1;0;;;4
39.34739380390677, -0.34344288047388305;"{""coordinates"": [[[-0.3693124, 39.4413111, 0.0], [-0.3703531, 39.4345942, 0.0], [-0.3580049, 39.4327825, 0.0], [-0.3491871, 39.4296215, 0.0], [-0.3460223, 39.4285391, 0.0], [-0.3444888, 39.4280904, 0.0], [-0.3424175, 39.4293016, 0.0], [-0.3342749, 39.4233501, 0.0], [-0.3324725, 39.4124094, 0.0], [-0.3280093, 39.395365, 0.0], [-0.3156497, 39.3592729, 0.0], [-0.2977111, 39.3199749, 0.0], [-0.2750518, 39.2791933, 0.0], [-0.2789602, 39.279166, 0.0], [-0.2927789, 39.283418, 0.0], [-0.3052243, 39.2992277, 0.0], [-0.3130349, 39.3032128, 0.0], [-0.3157815, 39.3034785, 0.0], [-0.3185281, 39.3026151, 0.0], [-0.3361537, 39.3015105, 0.0], [-0.357783, 39.2975253, 0.0], [-0.367396, 39.3001821, 0.0], [-0.3742625, 39.3062924, 0.0], [-0.3791644, 39.3097485, 0.0], [-0.381911, 39.313069, 0.0], [-0.3862025, 39.3129362, 0.0], [-0.3917719, 39.3137303, 0.0], [-0.3940989, 39.3161236, 0.0], [-0.3965785, 39.3193082, 0.0], [-0.3969218, 39.3251512, 0.0], [-0.3965022, 39.3284737, 0.0], [-0.3962351, 39.3323215, 0.0], [-0.3956439, 39.3363075, 0.0], [-0.3972651, 39.338429, 0.0], [-0.3971888, 39.3414853, 0.0], [-0.3954722, 39.344937, 0.0], [-0.3892924, 39.3467955, 0.0], [-0.3846575, 39.3494504, 0.0], [-0.3831126, 39.3519726, 0.0], [-0.3807093, 39.3546273, 0.0], [-0.3771044, 39.35476, 0.0], [-0.3719546, 39.3564856, 0.0], [-0.3671481, 39.3574147, 0.0], [-0.3661181, 39.3602019, 0.0], [-0.3625132, 39.3613964, 0.0], [-0.3575351, 39.3619273, 0.0], [-0.3542735, 39.3621928, 0.0], [-0.3544451, 39.3631218, 0.0], [-0.3356299, 39.3821207, 0.0], [-0.3515515, 39.3994336, 0.0], [-0.3494903, 39.4155571, 0.0], [-0.3502131, 39.4222201, 0.0], [-0.3574658, 39.4229826, 0.0], [-0.3578949, 39.4220792, 0.0], [-0.3591824, 39.4221041, 0.0], [-0.3593755, 39.4208443, 0.0], [-0.3587103, 39.4205874, 0.0], [-0.3586889, 39.4202062, 0.0], [-0.3601051, 39.419999, 0.0], [-0.3600085, 39.4196674, 0.0], [-0.3617788, 39.419195, 0.0], [-0.3648656, 39.4199825, 0.0], [-0.3646296, 39.4210434, 0.0], [-0.3729122, 39.4247895, 0.0], [-0.3721827, 39.4259829, 0.0], [-0.3728478, 39.426331, 0.0], [-0.3753799, 39.4267453, 0.0], [-0.3774478, 39.4273612, 0.0], [-0.3830268, 39.4308086, 0.0], [-0.3853791, 39.4321982, 0.0], [-0.3873961, 39.4328777, 0.0], [-0.388233, 39.4335241, 0.0], [-0.3872154, 39.4360331, 0.0], [-0.3833669, 39.4453094, 0.0], [-0.3807382, 39.455284, 0.0], [-0.3756203, 39.456936, 0.0], [-0.3683683, 39.4461499, 0.0], [-0.3691719, 39.4419893, 0.0], [-0.3693124, 39.4413111, 0.0]]], ""type"": ""Polygon""}";Àrea 4-B - Secundària/Batxillerat;Avda. Ausias March/Peris i Valero/Poeta Federico García Lorca/Límite de Sedaví/Límite de El Perelló/Playa/Cauce nuevo del río/Avda. Ausías March.;;;;;-1;0;-1;0;;;4
39.52915585093807, -0.35942226002703015;"{""coordinates"": [[[-0.3605208, 39.5178246, 0.0], [-0.3620657, 39.5184205, 0.0], [-0.3625378, 39.5209034, 0.0], [-0.3630528, 39.5232869, 0.0], [-0.3629669, 39.5248096, 0.0], [-0.3631815, 39.5263985, 0.0], [-0.3630528, 39.5267958, 0.0], [-0.3653702, 39.5274909, 0.0], [-0.3640827, 39.5292453, 0.0], [-0.3667435, 39.5330517, 0.0], [-0.3647265, 39.5343426, 0.0], [-0.3639111, 39.5327538, 0.0], [-0.3619799, 39.5355672, 0.0], [-0.3645977, 39.5367256, 0.0], [-0.3648123, 39.5381818, 0.0], [-0.3639111, 39.5384797, 0.0], [-0.3632674, 39.5382811, 0.0], [-0.3626665, 39.538579, 0.0], [-0.3599629, 39.5376523, 0.0], [-0.3582033, 39.5369242, 0.0], [-0.356873, 39.536858, 0.0], [-0.3552422, 39.5360967, 0.0], [-0.3549418, 39.5345412, 0.0], [-0.3547272, 39.533151, 0.0], [-0.3539976, 39.5316947, 0.0], [-0.3534827, 39.5306686, 0.0], [-0.3537831, 39.5298742, 0.0], [-0.3531822, 39.5296756, 0.0], [-0.354298, 39.5270606, 0.0], [-0.3519377, 39.5260013, 0.0], [-0.3536972, 39.5234193, 0.0], [-0.354813, 39.5239821, 0.0], [-0.3562292, 39.5240483, 0.0], [-0.3605208, 39.5178246, 0.0]]], ""type"": ""Polygon""}";Districte XVII (Poblats del Nord);Carpesa, Benifaraig, Massarrojos, Borbotó, Poble Nou, Casas de Bárcena, Mahuella-Tauladella, Rafalell-Vistavella;;;;;-1;0;-1;0;;;6
39.471246951332105, -0.3279898829278062;"{""coordinates"": [[[-0.3384763, 39.4617369, 0.0], [-0.3371352, 39.4629462, 0.0], [-0.3361374, 39.4642218, 0.0], [-0.3354078, 39.465547, 0.0], [-0.3350216, 39.4669054, 0.0], [-0.3347641, 39.4688269, 0.0], [-0.3344207, 39.4707815, 0.0], [-0.3339916, 39.4725042, 0.0], [-0.3335624, 39.4749887, 0.0], [-0.3331333, 39.4770094, 0.0], [-0.3325754, 39.4801562, 0.0], [-0.3320175, 39.4823093, 0.0], [-0.3313308, 39.4855221, 0.0], [-0.329743, 39.4848597, 0.0], [-0.3281551, 39.4843297, 0.0], [-0.3258806, 39.4842304, 0.0], [-0.3228765, 39.4843629, 0.0], [-0.3224474, 39.4784007, 0.0], [-0.3218036, 39.469622, 0.0], [-0.321031, 39.463294, 0.0], [-0.3163103, 39.4628468, 0.0], [-0.3164177, 39.4612399, 0.0], [-0.321235, 39.4615133, 0.0], [-0.3226995, 39.4612854, 0.0], [-0.3234988, 39.4609416, 0.0], [-0.324915, 39.4602873, 0.0], [-0.3261381, 39.4616374, 0.0], [-0.3284341, 39.461654, 0.0], [-0.3293997, 39.4615629, 0.0], [-0.3298503, 39.461273, 0.0], [-0.3307757, 39.4606248, 0.0], [-0.3311002, 39.4597116, 0.0], [-0.3355044, 39.4608671, 0.0], [-0.3384763, 39.4617369, 0.0]]], ""type"": ""Polygon""}";Àrea 8 - Secundària/Batxillerat;Serreria, M. Blas de Lezo, Lluís Peixo, Ingeniero Fausto Elio, Límite Alboraya, Playa, Dr. Marcos Sopena, JJ Domine, Av. Puerto, Serrería, Incluye Recinto del Puerto;;;;;-1;0;-1;0;;;8
39.44424903638028, -0.3333154786349731;"{""coordinates"": [[[-0.3566479, 39.467081, 0.0], [-0.3371388, 39.4612823, 0.0], [-0.3346926, 39.4605865, 0.0], [-0.3313574, 39.459811, 0.0], [-0.33068, 39.4584659, 0.0], [-0.3297895, 39.4569749, 0.0], [-0.3282123, 39.4561962, 0.0], [-0.326088, 39.4551441, 0.0], [-0.3237063, 39.4544897, 0.0], [-0.3226763, 39.4540258, 0.0], [-0.3237921, 39.4528329, 0.0], [-0.3254443, 39.4532139, 0.0], [-0.3256375, 39.4525512, 0.0], [-0.3261524, 39.4526838, 0.0], [-0.3262383, 39.4519713, 0.0], [-0.3203159, 39.449983, 0.0], [-0.3213888, 39.4482598, 0.0], [-0.325337, 39.4498174, 0.0], [-0.3250366, 39.4463709, 0.0], [-0.3176123, 39.4439847, 0.0], [-0.3205305, 39.4375882, 0.0], [-0.3280407, 39.4401734, 0.0], [-0.3305303, 39.4354005, 0.0], [-0.3151666, 39.4304286, 0.0], [-0.3128921, 39.4332799, 0.0], [-0.3092231, 39.4305954, 0.0], [-0.3133536, 39.4230213, 0.0], [-0.3261898, 39.4266263, 0.0], [-0.3303339, 39.4278316, 0.0], [-0.3300027, 39.4305556, 0.0], [-0.3325409, 39.4315198, 0.0], [-0.3327371, 39.4263335, 0.0], [-0.3424175, 39.4293016, 0.0], [-0.3437049, 39.4343067, 0.0], [-0.343147, 39.4370743, 0.0], [-0.3426965, 39.438425, 0.0], [-0.3415591, 39.4393779, 0.0], [-0.3416747, 39.4546663, 0.0], [-0.3441918, 39.454491, 0.0], [-0.3463656, 39.4551772, 0.0], [-0.3477639, 39.4560631, 0.0], [-0.350301, 39.4576528, 0.0], [-0.3537395, 39.4600044, 0.0], [-0.3566685, 39.4617916, 0.0], [-0.3574839, 39.4628208, 0.0], [-0.3580205, 39.4639495, 0.0], [-0.3566479, 39.467081, 0.0]]], ""type"": ""Polygon""}";Àrea 9 - Secundària/Batxillerat;Cauce viejo del río/Eduardo Boscà/Avda del Puerto/Ingeniero Manuel Soto/Nazaret/Vía del Ferrocarril/Cauce viejo del río. Incluye Ciutat de les Arts i les Ciències i l'Institut de Biomecànica i tambè el recinte del Port.;;;;;-1;0;-1;0;;;9
39.49242984371193, -0.40353762793019615;"{""coordinates"": [[[-0.425194, 39.494331, 0.0], [-0.4285843, 39.4972453, 0.0], [-0.4317387, 39.5058715, 0.0], [-0.4280587, 39.5067076, 0.0], [-0.4256876, 39.5071296, 0.0], [-0.4241855, 39.5056479, 0.0], [-0.4230268, 39.5060535, 0.0], [-0.4227479, 39.5071462, 0.0], [-0.4180272, 39.5056231, 0.0], [-0.4122336, 39.5036033, 0.0], [-0.4044015, 39.4971956, 0.0], [-0.4019928, 39.4982595, 0.0], [-0.3985477, 39.4997454, 0.0], [-0.3944278, 39.5027257, 0.0], [-0.3917219, 39.50184, 0.0], [-0.3850682, 39.4973778, 0.0], [-0.3821755, 39.4901746, 0.0], [-0.3895087, 39.4886195, 0.0], [-0.3827338, 39.4829079, 0.0], [-0.3888335, 39.4797136, 0.0], [-0.3975991, 39.4765048, 0.0], [-0.4056878, 39.4747243, 0.0], [-0.4072328, 39.4809021, 0.0], [-0.4049583, 39.4874603, 0.0], [-0.4108703, 39.4958304, 0.0], [-0.4165195, 39.4956024, 0.0], [-0.4184778, 39.4931885, 0.0], [-0.4216965, 39.4956227, 0.0], [-0.425194, 39.494331, 0.0]]], ""type"": ""Polygon""}";Àrea 10 - Secundària/Batxillerat;Hermanos Machado/Juan XXIII/Peset Aleixandre/Avda. Burjassot/Cauce Viejo del río/Límite distrito municipal 16/Hermanos Machado. Se incluyen Benimamet y Beniferri.;;;;;-1;0;-1;0;;;10
39.470826221527794, -0.38174981297513205;"{""coordinates"": [[[-0.395809, 39.4749159, 0.0], [-0.3891626, 39.4776239, 0.0], [-0.3853002, 39.4790814, 0.0], [-0.3832403, 39.4799427, 0.0], [-0.3803, 39.4812862, 0.0], [-0.3750644, 39.4790338, 0.0], [-0.3713956, 39.4771602, 0.0], [-0.3674474, 39.4730525, 0.0], [-0.3672094, 39.4728295, 0.0], [-0.3673576, 39.4726396, 0.0], [-0.3680402, 39.4724585, 0.0], [-0.3693625, 39.4715001, 0.0], [-0.37102, 39.4697821, 0.0], [-0.3734285, 39.4681634, 0.0], [-0.3750618, 39.4672381, 0.0], [-0.3765027, 39.4671738, 0.0], [-0.3777495, 39.4640689, 0.0], [-0.378803, 39.4611627, 0.0], [-0.3807382, 39.455284, 0.0], [-0.382054, 39.4559099, 0.0], [-0.395809, 39.4749159, 0.0]]], ""type"": ""Polygon""}";Àrea 1 - Secundària/Batxillerat;Justicia/Colón/Xàtiva/Alicante/Gibraltar/Vía del Ferrocarril/Giorgeta/Pérez Galdós/Cauce viejo del río/Justicia.;;;;;-1;0;-1;0;;;1
