Name;Category;Province;City;Rating;Coordenadas
Biblioteca Municipal Teodoro Llorente;Biblioteca pública;Valencia;Valencia;2,5;39.5018335, -0.4238454
Biblioteca Municipal Joan De Timoneda;Biblioteca pública;Valencia;Valencia;3,5;39.4946704, -0.4058246
Agencia de Lectura Municipal Terramelar;Biblioteca pública;Valencia;Paterna;2,6;39.5074254, -0.4287148
Biblioteca de Farmàcia;Biblioteca universitaria;Valencia;Burjasot;3,0;39.508625, -0.4198563
Agencia de Lectura Municipal Campament;Biblioteca pública;Valencia;Paterna;4,6;39.4978249, -0.4340773
Biblioteca de Adultos y Mediateca Municipal;Biblioteca pública;Valencia;Burjasot;2,6;39.5071744, -0.4106563
Biblioteca la Cova Gran;Biblioteca pública;Valencia;Paterna;3,9;39.5039312, -0.4388153
Biblioteca Municipal Vicent Tortosa I Biosca;Biblioteca;Valencia;Valencia;4,6;39.5001025, -0.3926889
Biblioteca Municipal Francesc Almela i Vives;Biblioteca pública;Valencia;Valencia;2,9;39.4802122, -0.4008252
Biblioteca Municipal Carmelina Sánchez - Cutillas;Biblioteca pública;Valencia;Valencia;2,9;39.4943267, -0.3872626
Biblioteca Popular;Biblioteca;Valencia;Valencia;;39.4953869, -0.3707624
Biblioteca Municipal La Petxina;Biblioteca pública;Valencia;Valencia;1,8;39.4752666, -0.3943706
Biblioteca Municipal María Beneyto;Biblioteca pública;Valencia;Valencia;3,7;39.4768363, -0.3847961
Biblioteca Municipal;Biblioteca pública;Valencia;Godella;4,1;39.5228272, -0.4157343
Biblioteca Valenciana;Biblioteca;Valencia;Valencia;4,7;39.4992492, -0.3695037
Seccio de Documentacio Bibliotecaria;Biblioteca;Valencia;Valencia;4,0;39.4997477, -0.369951
BIBLIOTECA MUNICIPAL LLUÍS FULLANA I MIRA (TRES FORQUES);Biblioteca pública;Valencia;Valencia;3,5;39.4652721, -0.4021573
Biblioteca Municipal de Trinitat - Viveros;Biblioteca pública;Valencia;Valencia;3,3;39.4809315, -0.3693345
Biblioteca Pública Municipal María Moliner;Biblioteca;Valencia;Valencia;4,4;39.4763025, -0.3491411
Biblioteca Municipal Josep María Bayarri;Biblioteca pública;Valencia;Valencia;4,0;39.4969433, -0.3685079
Biblioteca ETSIE;Biblioteca universitaria;Valencia;Valencia;4,0;39.481506, -0.3485172
Biblioteca Municipal Vicente Casp i Verger;Biblioteca pública;Valencia;Valencia;4,2;39.4650929, -0.3474878
Biblioteca Municipal Monteolivete;Biblioteca pública;Valencia;Valencia;2,3;39.4556799, -0.3602328
Biblioteca Pública Pilar y Faus;Biblioteca pública;Valencia;Valencia;4,0;39.4702505, -0.3816555
Biblioteca Municipal Carola Reig Salvà;Biblioteca pública;Valencia;Valencia;3,1;39.4881002, -0.3582031
Biblioteca de Ciencias de la Salud. Universidad de Valencia;Biblioteca universitaria;Valencia;;4,1;39.4794197, -0.3629933
Biblioteca Municipal Gregori Maians i Ciscar;Biblioteca;Valencia;Valencia;;39.4616271, -0.3456048
Biblioteca Histórico Miltar Valecia;Biblioteca;Valencia;Valencia;;39.4723476, -0.3672558
Biblioteca Municipal del Grau - Constantí Llombart;Biblioteca pública;Valencia;Valencia;3,3;39.4626043, -0.3306589
Biblioteca Municipal Tomàs Vicent Tosca;Biblioteca pública;Valencia;Valencia;3,4;39.4722847, -0.350849
"Biblioteca de Educación &quot;María Moliner&quot;. Universidad de Valencia";Biblioteca universitaria;Valencia;Valencia;3,8;39.4791876, -0.3461218
Biblioteca Pública Municipal Joan Churat I Saurí;Biblioteca;Valencia;Valencia;3,3;39.434322, -0.3929529
"Biblioteca Municipal de El Castellar - L&apos;Oliveral - Matilde Ramos";Biblioteca pública;Valencia;Valencia;4,4;39.4280435, -0.3621328
Biblioteca Municipal Vicent Boix i Ricarte;Biblioteca pública;Valencia;Valencia;3,4;39.4659596, -0.4093735
Entre Líneas;Biblioteca;Valencia;Valencia;;39.4191386, -0.3361947
Sala de exposiciones Biblioteca Municipal Patraix-Azorín;Biblioteca pública;Valencia;Valencia;3,5;39.4603654, -0.3927398
Hemeroteca Municipal;Biblioteca;Valencia;Valencia;4,7;39.4652985, -0.4020604
Biblioteca Municipal Joaquim Martí i Gadea;Biblioteca pública;Valencia;Valencia;3,2;39.4561096, -0.3603882
Biblioteca Pública Municipal Vicente Ruiz Monrabal de Sedaví;Biblioteca pública;Valencia;Sedaví;4,4;39.4256258, -0.3881965
Biblioteca Pública Municipal Germana De Foix;Biblioteca;Valencia;Valencia;3,0;39.4603515, -0.3858411
Biblioteca Eduardo Escalante;Biblioteca;Valencia;Valencia;3,4;39.4676887, -0.3877722
Biblioteca Municipal Roís de Corella;Biblioteca;Valencia;Valencia;3,3;39.4487188, -0.377251
Biblioteca Municipal Carles Ros;Biblioteca pública;Valencia;Valencia;3,6;39.4774708, -0.3806367
"Espai Cultural &quot;Escolles velles&quot; biblioteca";Biblioteca;Valencia;Sueca;;39.2769008, -0.2769438
Biblioteca del Centre Cívic Ernest Lluch (Xirivella);Biblioteca pública;Valencia;Chirivella;4,8;39.4659138, -0.4335729
Biblioteca de la Mujer;Biblioteca;Valencia;Valencia;4,8;39.4784836, -0.3761107
Biblioteca Municipal Nova Al-Russafí;Biblioteca pública;Valencia;Valencia;3,0;39.4609171, -0.3705437
Biblioteca Pública Municipal Benetússer;Biblioteca pública;Valencia;Benetúser;4,3;39.4228721, -0.3965278
Biblioteca Històrica. Universitat de València;Biblioteca universitaria;Valencia;Valencia;4,1;39.4722129, -0.3731278
Biblioteca del MUVIM;Biblioteca;Valencia;Valencia;3,0;39.4697364, -0.3813608
Biblioteca Municipal De Picanya;Biblioteca pública;Valencia;Picaña;4,1;39.4350831, -0.4346129
Biblioteca CRAI “José Planas”;Biblioteca universitaria;Valencia;Valencia;2,5;39.4754415, -0.3652689
Biblioteca Municipal de Nazaret;Biblioteca pública;Valencia;Valencia;4,3;39.4489593, -0.3312883
Biblioteca Municipal Casa de la Reina;Biblioteca;Valencia;Valencia;3,3;39.4674815, -0.3289587
"Biblioteca de Humanidades &quot;Joan Reglà&quot;";Biblioteca universitaria;Valencia;Valencia;3,9;39.476787, -0.3617636
Biblioteca depositaria de la ONU (ONUBIB)-Universidad de Valencia;Biblioteca universitaria;València;Valencia;;39.4771228, -0.3416593
Biblioteca Pública Municipal de Mislata;Biblioteca pública;Valencia;Mislata;3,9;39.4750498, -0.4169447
Biblioteca de Ciències Socials Gregori Maians. Universitat de València;Biblioteca universitaria;Valencia;Valencia;3,7;39.4776525, -0.3419485
Biblioteca Pública Xelo Carbonell Company;Biblioteca;Valencia;Silla;3,3;39.3624196, -0.4076167
La Horita de los Cuentos;Biblioteca infantil;Valencia;Valencia;;39.4742299, -0.3807151
BIBLIOMAR. Ayto de Valencia/Cruz Roja;Biblioteca pública;Valencia;Valencia;5,0;39.4674494, -0.3229684
Agencia de Lectura Municipal Santa Cecilia;Biblioteca pública;Valencia;Mislata;4,0;39.4714491, -0.419786
Biblioteca Municipal;Biblioteca pública;Valencia;Alfafar;4,6;39.4218983, -0.3896306
Biblioteca de Psicología y Deporte “Joan Lluís Vives” (UV);Biblioteca;Valencia;Valencia;4,2;39.4784741, -0.3598177
