Name;Category;Province;City;Rating;Coordenadas
Cines Lys;Cine;Valencia;Valencia;4,3;39.4686948, -0.3751891
ABC Park;Cine;Valencia;Valencia;4,1;39.4692855, -0.3728573
Cine Yelmo Campanar;Cine;València;Valencia;4,0;39.4775213, -0.3955859
Cines Babel;Cine;Valencia;Valencia;4,4;39.4697628, -0.3572612
Cines ABC;Cine;Valencia;Valencia;4,0;39.4533532, -0.3547327
"Cinestudio d&apos;Or";Cine;Valencia;Valencia;4,5;39.4640889, -0.3670555
La Filmoteca;Cine;Valencia;Valencia;4,4;39.4709591, -0.3762768
ABC Gran Túria;Cine;Valencia;Chirivella;4,0;39.465374, -0.4143956
Proyecto Viridiana;Cine;Valencia;Valencia;4,0;39.4681528, -0.3731291
autocine STAR;Autocine;Valencia;Valencia;4,4;39.4093152, -0.3342151
Terraza Lumiere;Cine al aire libre;Valencia;Alboraya;4,3;39.5001106, -0.3454072
SPACE LOC;Cine;Valencia;Valencia;;39.454887, -0.3892263
JUBIOCIO;Cine;València;Valencia;4,4;39.4938692, -0.3868915
oluiyuj;Cine;Valencia;Valencia;;39.4737711, -0.35616
Borja V. Salom;Cine;Valencia;Valencia;5,0;39.4664419, -0.3795424
Kinepolis;Cine;Valencia;Campo Olivar;4,4;39.5303227, -0.440691
Asismaval, S.L.;Cine;Valencia;Valencia;;39.4603697, -0.3851403
CINESA LUXE BONAIRE;Cine;Valencia;Aldaya;4,3;39.4711452, -0.4893709
Puro producciones;Cine;Valencia;Valencia;;39.4680355, -0.3883033
Cine Tívoli;Cine;Valencia;Burjasot;4,7;39.5105357, -0.4103873
MIRALLES EVENTOS (Servicios para Eventos);Cine;Valencia;Valencia;;39.4683729, -0.400529
BESTRETA CÀSTING;Cine;Valencia;Valencia;4,8;39.4720648, -0.3925
Walkman Market;Cine;Valencia;Valencia;;39.4836161, -0.3587855
Hemisfèric;Cine Imax;Valencia;Valencia;4,1;39.4566702, -0.3538477
CINE 4D. Trading Network Development S.L.;Cine;Valencia;Paterna;4,4;39.530989, -0.441832
NATURAL LIGHT CORP.;Cine;Valencia;Torrent;;39.4283254, -0.4778662
Cine Museros Digital;Cine;Valencia;Museros;4,3;39.5630712, -0.3431426
Cine de Verano La Eliana;Cine al aire libre;Valencia;La Eliana;4,4;39.5636216, -0.5334383
Auto;Autocine;Valencia;Valencia;;39.4617676, -0.3709777
Brigada;Cine;Valencia;Aldaya;3,0;39.4729332, -0.4662757
Alboraya GIFF;Cine;Valencia;Alboraya;5,0;39.5011947, -0.3497029
Comboi Films;Cine;Valencia;Vinalesa;;39.5381845, -0.3707325
Kaova;Cine;Valencia;Valencia;;39.4827739, -0.3922433
Ocine Aqua;Cine;Valencia;Valencia;4,2;39.4569977, -0.3453406
EOC Producciones Cinematográficas;Cine;Valencia;Valencia;;39.4695122, -0.3938862
Cines MN4;Cine;Valencia;Alfafar;4,3;39.4165153, -0.3806315
Cine Yelmo VidaNova Parc;Cine;Valencia;Sagunto;4,1;39.6713665, -0.2666327
Cine Terraza Charly;Cine al aire libre;Valencia;Guardamar de la Safor;4,5;38.9594763, -0.1300662
Cines Kinepolis Alzira;Cine;Valencia;Alzira;4,1;39.1634976, -0.4270515
Totart;Cine;Valencia;Valencia;4,8;39.4732973, -0.3895877
Cine ABC... Gandia;Cine;Valencia;Gandía;4,1;38.9686579, -0.1685971
Movil;Cine;Valencia;Alfara del Patriarca;;39.5453268, -0.385947
Taquilla Cines;Cine;Valencia;Valencia;;39.45291, -0.3544873
Cines Victoria Cullera;Cine;Valencia;Cullera;4,3;39.1777409, -0.2602948
OCINE Premium Estepark;Cine;Castellón;Castellón de la Plana;4,5;39.9746154, -0.0614252
Cine Yelmo Campanar;Cine;València;;4,0;39.4775213, -0.3955859
Cine Unió Musical de Llíria;Cine;Valencia;Liria;4,4;39.6279427, -0.59653
Cineapolis El Teler;Cine;Valencia;Onteniente;4,0;38.8241691, -0.6027859
Edificio Sanchis Guarner;Cine;Valencia;Alfafar;4,1;39.415737, -0.398645
