Codigo;Distrito;Barrio;Coordenadas;Linea_1;Linea_2;Linea_3;Linea_4;Linea_5;Linea_6;Linea_7;Linea_8;Linea_9;Bus_N2;Bus_7;Bus_11;Bus_92;Bus_8;Bus_N3;Bus_19;Bus_27;Bus_81;Bus_31;Bus_70;Bus_73;Bus_4;Bus_94;Bus_14;Bus_N4;Bus_9;Bus_32;Bus_16;Bus_99;Bus_6;Bus_N8;Bus_28;Bus_26;Bus_62;Bus_10;Bus_95;Bus_13;Bus_N5;Bus_72;Bus_15;Bus_N7;Bus_N9;Bus_18;Bus_98;Bus_N10;Bus_89;Bus_12;Bus_93;Bus_35;Bus_80;Bus_N1;Bus_63;Bus_N6;Bus_60;Bus_90;Bus_79;Bus_C1;Bus_25;Bus_30;Bus_40;Bus_24;Bus_71;Bus_67;Bus_64;Colegios;Alquiler_2022;Venta_2022;Espacios_verdes;Hospital_publico;Hospital_privado;Centro_salud_publico;Centro_salud_privado;Institutos;Gimnasio;Rate_Gimnasio;Biblioteca;Rate_Biblioteca;Cine;Rate_Cine;Museo;Rate_Museo;Restaurante;Rate_Restaurante;Supermercado;Rate_Supermercado
11;CIUTAT VELLA;LA SEU;39.47662037964932, -0.3751184490096387;0;0;1;1;1;0;1;0;1;0;0;0;1;0;0;1;0;0;1;0;0;0;1;1;0;0;1;1;1;0;0;0;1;1;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;13.2;3545;0;0;0;0;0;0;0;0.0;2;4.65;0;0.0;9;4.466666666666667;1;4.7;1;3.0
12;CIUTAT VELLA;LA XEREA;39.47414294396384, -0.3709325090236224;0;0;1;1;1;0;1;0;1;1;0;1;1;0;0;1;0;1;1;1;0;0;1;1;1;0;1;1;1;1;0;0;1;1;0;1;0;0;0;1;0;1;0;1;1;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;1;1;0;2;11.8;3393;0;0;0;1;0;0;0;0.0;1;4.1;0;0.0;8;4.3375;4;4.55;1;4.4
13;CIUTAT VELLA;EL CARME;39.47904419159029, -0.37998552713027123;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;1;1;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;11.5;2577;3;0;0;0;0;0;0;0.0;1;3.6;0;0.0;17;4.341176470588235;0;0.0;3;4.433333333333334
14;CIUTAT VELLA;EL PILAR;39.473244312116854, -0.38228815063662114;1;0;1;0;1;0;1;0;1;0;0;1;1;0;0;1;0;0;0;1;1;0;1;1;0;0;1;0;1;0;0;0;1;1;0;0;0;1;1;1;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;10.4;2533;0;0;0;0;0;0;1;4.8;0;0.0;0;0.0;2;5.0;0;0.0;2;3.8
15;CIUTAT VELLA;EL MERCAT;39.473830251826485, -0.37883249975860434;1;0;1;1;1;0;1;0;1;0;0;1;1;0;0;1;0;0;0;1;1;0;1;1;0;0;1;1;1;0;0;0;1;1;0;0;0;1;1;1;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;12.7;2757;0;0;0;0;0;0;0;0.0;1;;0;0.0;3;3.8666666666666667;4;4.55;3;4.166666666666667
16;CIUTAT VELLA;SANT FRANCESC;39.47010643870184, -0.37604898217912297;1;0;1;0;1;0;1;0;1;0;0;1;1;0;0;1;0;0;1;1;1;0;1;1;0;1;1;0;1;0;0;0;1;1;0;1;0;1;1;1;0;1;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;3;12.0;3417;5;0;0;0;0;0;2;4.95;2;3.5;3;4.266666666666667;9;;9;4.388888888888888;2;4.1
21;L'EIXAMPLE;RUSSAFA;39.461190528718575, -0.37369550895004494;1;0;1;0;1;0;1;0;1;0;0;1;1;0;0;1;0;0;1;0;0;0;1;1;0;1;1;0;1;0;0;0;1;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;10.6;2738;0;0;1;1;0;0;6;4.666666666666667;1;3.0;1;;4;;2;4.65;13;
22;L'EIXAMPLE;EL PLA DEL REMEI;39.46901556067295, -0.36896456017818646;0;0;1;0;1;0;1;0;1;0;0;0;1;0;0;1;0;0;1;0;0;0;1;1;1;0;1;0;1;0;0;0;1;1;0;1;0;0;0;1;0;1;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;2;11.2;4029;0;0;0;0;0;0;4;4.575;1;;1;4.0;0;0.0;2;4.3;1;3.3
23;L'EIXAMPLE;LA GRAN VIA;39.46554379797746, -0.3655204807447221;0;0;1;0;1;0;1;0;1;0;0;0;1;0;0;1;0;0;1;0;0;0;1;1;0;0;1;0;1;0;0;0;1;1;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;10.8;3237;0;0;0;0;0;0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0
31;EXTRAMURS;EL BOTANIC;39.4761345424724, -0.38596793151401054;1;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;10.0;2410;2;0;0;0;0;0;0;0.0;1;3.7;0;0.0;1;4.8;3;4.466666666666667;2;4.0
