Name;Category;Province;City;Rating;Coordenadas
Museo Fallero de Valencia;Museo de historia local;Valencia;Valencia;4,5;39.4591127, -0.3590237
Casa Museo Benlliure;Museo;Valencia;Valencia;4,6;39.4808136, -0.3789437
Museo Histórico Municipal;Museo de historia;Valencia;Valencia;4,4;39.4694796, -0.3772943
Museo Nacional de Cerámica y Artes Suntuarias González Martí;Museo de artesanía;Valencia;Valencia;4,5;39.472734, -0.3746838
Palacio del Marqués de Campo, Museo de la Ciudad de Valencia;Museo de historia local;Valencia;Valencia;4,4;39.475975, -0.3738419
Museo Casa de las Rocas;Museo de historia local;Valencia;Valencia;4,5;39.4790201, -0.3768769
Museu de Belles Arts de València;Museo de arte;Valencia;Valencia;4,5;39.4790039, -0.3711751
Museo de Prehistoria de Valencia;Museo arqueológico;Valencia;Valencia;4,6;39.47831, -0.3833031
Centro Arqueológico de la Almoina;Museo arqueológico;Valencia;Valencia;4,6;39.4762551, -0.3741593
Museo y Colegio del Arte Mayor de la Seda;Museo de historia local;Valencia;Valencia;4,4;39.470859, -0.3809826
Casa-Museo de Blasco Ibáñez;Museo de historia local;Valencia;Valencia;4,3;39.4826787, -0.3259686
Museo del Artista Fallero de Valencia;Museo de historia local;Valencia;Valencia;4,3;39.5001148, -0.3925181
Museo de las Ciencias;Museo de ciencias;Valencia;Valencia;4,4;39.4561074, -0.3520842
Museo Del Arroz de Valencia;Museo de historia local;Valencia;Valencia;4,4;39.4631792, -0.3319208
Museo Mariano MuMa;Museo de arte;Valencia;Valencia;3,3;39.4764418, -0.3746238
Museo Diocesano de la Catedral de Valencia;Museo;Valencia;Valencia;4,7;39.4753039, -0.3753674
"L&apos;Iber, Museo de los soldaditos de plomo";Museo de historia;Valencia;Valencia;4,5;39.476774, -0.3781572
Museo de Historia Valencia;Museo de historia local;Valencia;Mislata;4,5;39.4724948, -0.4084227
Museo Taurino;Museo;Valencia;Valencia;3,3;39.4661798, -0.3756972
Museo de la Palabra;Museo;Valencia;Valencia;3,7;39.4788181, -0.3830386
"L&apos;ETNO. Museu Valencià d&apos;Etnologia";Museo etnográfico;Valencia;Valencia;4,7;39.4783413, -0.3831279
Museo de Pesas y Medidas;Museo;València;Valencia;4,3;39.4759773, -0.3738966
MuVIM - Museo Valenciano de la Ilustración y de la Modernidad;Museo de arte;Valencia;Valencia;4,2;39.4696732, -0.3813323
Instituto Valenciano de Arte Moderno;Museo de arte moderno;Valencia;Valencia;4,3;39.4796338, -0.3829136
Museo del arroz;Museo;Valencia;Cullera;3,4;39.19000073194759, -0.25386983087634385
LLoma del Tos Pelat;Museo arqueológico;Valencia;Cañada;4,3;39.5599289, -0.420976
Casa Museo Pinazo;Museo;Valencia;Godella;4,2;39.5168588, -0.4107501
Museo Martínez Beneyto;Museo;Valencia;Masamagrell;5,0;39.5705594, -0.3282421
Alqueria Ramón;Museo;Valencia;Valencia;4,3;39.5073622, -0.3948735
Museo de la Universidad de Valencia de Historia Natural-MUVHN;Museo;Valencia;Burjasot;4,7;39.507201, -0.4208037
Museo de la Huerta;Museo;Valencia;Almácera;4,1;39.5124818, -0.3511496
Museo Conchita Piquer;Museo;Valencia;Valencia;4,4;39.4852748, -0.3765239
Centre Cultural Rausell;Museo de arte;Valencia;Meliana;4,8;39.5263184, -0.3486915
Sala Ferreres Goerlich;Museo de arte;València;Valencia;5,0;39.4802406, -0.3785811
Museo de Ciencias Naturales;Museo de historia natural;Valencia;Valencia;4,5;39.4793155, -0.3687317
Casa Museo Lujan Todo Madera;Museo;Valencia;El Puig;;39.5882509, -0.3001879
Fundación Guerrer De Moixent;Museo;Valencia;Valencia;3,5;39.4767184, -0.3781668
Casa de Antonio Machado;Museo;Valencia;Rocafort;3,3;39.5298216, -0.4087243
Museu de la Impremta i de les Arts Gràfiques;Museo;Valencia;El Puig;4,5;39.5885138, -0.3029515
Museo de la Semana Santa Marinera;Museo de historia local;Valencia;Valencia;4,2;39.4631025, -0.33194
Expo Fuego y llamas, las fallas de fuera de Valencia;Museo;Valencia;Valencia;5,0;39.4770089, -0.3767215
Directorio de Museos y Colecciones de España;Museo;Valencia;Manises;;39.4903819, -0.4507159
Palacio de Benicarló;Museo;Valencia;Valencia;4,5;39.4779311, -0.3747214
Ruta de los Murales sobre Mujeres Científicas en Valencia;Museo al aire libre;Valencia;Valencia;;39.4603701, -0.3833396
EscolaPiart;Museo de arte;Valencia;Valencia;5,0;39.4738882, -0.3820821
El Almudín;Museo;Valencia;Valencia;4,4;39.4765199, -0.3737078
Alquería El Machistre - Museo de la Horchata y la Chufa;Museo etnográfico;Alboraya;Alboraya;4,4;39.51682, -0.328216
CIMOU;Museo;Valencia;Valencia;3,0;39.4743252, -0.3772314
LA FUNDACIÓN JJCC;Museo de arte moderno;Valencia;Valencia;5,0;39.4793362, -0.3771369
Palacio del Marques de Malferit;Museo;Valencia;Valencia;4,5;39.4767184, -0.3781668
Paseo del Cine (baldosas de directores y actores);Museo al aire libre;Valencia;Valencia;;39.4714288, -0.3249394
Museo De La Cerámica De Manises;Museo;Valencia;Manises;4,5;39.492307, -0.4556526
Museo del Palmito;Museo etnográfico;Valencia;Aldaya;4,3;39.4649781, -0.4624281
Museo de Informática;Museo;Valencia;Valencia;4,2;39.4827922, -0.3480557
Galería del Tossal - Muralla Árabe;Museo al aire libre;Valencia;Valencia;4,1;39.4762806, -0.3801994
Bombas Gens Centro de Arte;Museo;Valencia;Valencia;4,5;39.4855766, -0.3849098
Museo de la Rajoleria;Museo;Valencia;Paiporta;4,5;39.4242708, -0.4175808
Museo Policía Local Meliana;Museo;Valencia;Meliana;;39.5304141, -0.3470879
"SALAS DE RRESERVA L&apos;ETNO";Museo;Valencia;Bétera;;39.5758648, -0.449935
Museo Histórico Militar;Museo militar;Valencia;Valencia;4,7;39.4719663, -0.3621678
Museo Marqués de Dos Aguas;Museo;Valencia;Valencia;4,7;39.4727181, -0.3746685
Pou del Quint;Museo al aire libre;Valencia;Valencia;4,5;39.4839515, -0.4227664
Museo del Patriarca;Museo;Valencia;Valencia;4,4;39.4723967, -0.3731023
Museo Oceanogràfic;Museo de zoología;Valencia;Valencia;4,5;39.4536588, -0.3471302
Estatua Constantín Llombart;Museo al aire libre;Valencia;Valencia;5,0;39.4782476, -0.3679387
Casa Don Visente Lo Cabanyal;Museo;Valencia;Valencia;5,0;39.4722835, -0.3294608
Antiguo Almacén de Dientes;Museo infantil;Valencia;Valencia;4,8;39.4746763, -0.3854969
Sala Dormitorio;Museo de arte;Valencia;Valencia;5,0;39.4799682, -0.3786451
MUMAF-Colección Museográfica de Fotografía de Manises Carlos Sanchis;Museo;Valencia;Manises;4,7;39.489906, -0.4561111
Silkemuseum;Museo;Valencia;Valencia;4,0;39.47086, -0.38098
Biblioteca José Benlliure;Museo de arte;Valencia;Valencia;2,0;39.4801805, -0.3794436
Plaça de Benimaclet;Museo;Valencia;Valencia;4,4;39.4863464, -0.3590427
ivam staff entrance;Museo;Valencia;Valencia;5,0;39.4796672, -0.3829273
Graffiti Fernando Simón por J.Warx;Museo;Valencia;Valencia;4,4;39.484336, -0.359553
Ping pong;Museo;Valencia;;;39.423401, -0.3169112
Mural Plaza de la Botxa;Museo al aire libre;Valencia;Valencia;5,0;39.4730412, -0.3829699
Museo Historico de Sagunt;Museo;Valencia;Sagunto;4,2;39.6785263, -0.2779715
Palacio de Cervelló;Museo de historia local;Valencia;Valencia;4,3;39.4741872, -0.3702706
Judería de Valencia;Museo;Valencia;Valencia;3,5;39.4715518, -0.3724568
Exposición;Museo;Valencia;Valencia;4,5;39.4748327, -0.3806477
Atarazanas del Grao;Museo;Valencia;Valencia;4,3;39.4612066, -0.3333322
Sala Parpalló;Museo;Valencia;Valencia;4,5;39.4696027, -0.3814623
Plaza de toro;Museo;Valencia;Valencia;4,9;39.4669387, -0.3752456
CCCC (Centro del Carmen de Cultura Contemporánea);Centro cultural;Valencia;Valencia;4,6;39.4796725, -0.3790181
Centro Cultural La Beneficencia;Centro cultural;Valencia;Valencia;4,6;39.4783021, -0.3830065
Casa dels Bous - Museo en plena zona degradada de Valencia;Museo marítimo;Valencia;Valencia;;39.469465, -0.3262813
antigua casa dels bous, pintada por Sorolla;Museo;Valencia;Valencia;;39.4694686, -0.3263106
House of the Sea;Museo;Valencia;Valencia;;39.4649632, -0.345434
Fresque Urbaine;Museo;Valencia;Valencia;;39.4643475, -0.3334984
Ciudad de las Artes y las Ciencias;Museo de ciencias;Valencia;Valencia;4,7;39.4548751, -0.3504904
Observatori del Canvi Climàtic - València Clima i Energia;Observatorio;Valencia;Valencia;4,4;39.4670238, -0.3275222
Casa palacio del barón de Vallvert;Museo;Valencia;Valencia;5,0;39.4733015, -0.370857
Museo de la Palabra;Museo;Valencia;;3,7;39.4788181, -0.3830386
Museo Histórico Municipal;Museo de historia;Valencia;;4,4;39.4694796, -0.3772943
Palacio de Cervelló;Museo de historia local;Valencia;;4,3;39.4741872, -0.3702706
Expo Fuego y llamas, las fallas de fuera de Valencia;Museo;Valencia;;5,0;39.4770089, -0.3767215
Centro de Exposición y Museo Lladró;Museo de arte;Valencia;Tabernes Blanques;4,6;39.504209, -0.36151
Musée De La Tauromachie;Museo;Valencia;Valencia;4,0;39.4661798, -0.3756973
berlanga film museum;Museo;Valencia;Valencia;;39.4709591, -0.3762768
Cementerio medieval San Juan del Hospital;Museo;Valencia;Valencia;4,0;39.474403, -0.3729596
Ermita de San Cristóbal;Museo;Valencia;Alboraya;3,8;39.5020343, -0.3390826
Van gogh alive the experience;Museo;Valencia;Valencia;2,3;39.470003, -0.3764056
El oro de Klimt;Museo;Valencia;Valencia;2,8;39.4708999, -0.3762469
Casa Comte Zanoguera;Museo;Valencia;Alboraya;4,3;39.5007461, -0.3505614
"HARD ROCK RUZAFA. &quot; ROCK STAR&quot;";Museo;Valencia;Valencia;;39.459709, -0.372126
Real Academia de Bellas Artes de San Carlos;Museo;Valencia;Valencia;4,7;39.4794236, -0.3708264
