index;Dirección;Precio;Rebajado%;Habitaciones;Planta;m2;Ascensor;Baños;Coordenadas;Barrio
0;Piso en avenida gola de puchol, 1, El Saler;329000;0;3;  2ª exterior;102.0;1.0;2;;EL SALER
1;Piso en calle de Luis Janini, 2, Masarrochos/Massarrojos;150000;0;4;  4ª exterior;100.0;1.0;1;;MASSARROJOS
2;Piso en avenida Gola del Puchol, 2, El Saler;210000;0;2;  8ª exterior;80.0;1.0;1;;EL SALER
3;Dúplex en calle El Ancla, 6, El Perellonet;217900;0;3;  4ª exterior;94.0;1.0;3;39.473244312116854, -0.38228815063662114;EL PILAR
4;Casa o chalet independiente en camino Calvario, 11, Carpesa;115000;0;1;;40.0;0.0;1;;CARPESA
5;Piso en avenida Gola de Puchol, 13, El Saler;312000;0;2;  10ª exterior;100.0;1.0;1;;EL SALER
6;Chalet adosado en calle dels Calciners, 14, Masarrochos/Massarrojos;395000;0;4;;197.0;0.0;3;;MASSARROJOS
7;Chalet adosado en rocafort, 18, Masarrochos/Massarrojos;315000;0;5;;176.0;0.0;3;;MASSARROJOS
8;Piso en avenida de la Gola del Puchol, 18, El Saler;249000;0;2;  12ª exterior;84.0;1.0;2;;EL SALER
9;Chalet pareado en cuadina, 22, Castellar-Oliveral;199000;0;4;;353.0;0.0;1;;CASTELLAR-OLIVERAL
11;Piso en avenida Gola de Puchol, 24, El Saler;210000;0;2;  6ª exterior;65.0;1.0;1;;EL SALER
12;Piso en avenida Gola del Puchol, 25, El Saler;265000;10;2;  2ª exterior;110.0;1.0;2;;EL SALER
13;Piso en avenida Gola del Puchol, 26, El Saler;165000;0;2;  1ª exterior;80.0;1.0;1;;EL SALER
14;Chalet adosado en calle de Karl Marx, 58, Forn de Alcedo;205000;0;4;;200.0;0.0;3;;FORN DE ALCEDO
15;Chalet adosado en Gavines, 143, El Saler;295000;0;3;;100.0;0.0;1;;EL SALER
16;Chalet adosado en calle de José Aguilar, Aiora, València;430000;0;6;;242.0;0.0;3;39.4647266, -0.3404832;AIORA
17;Piso en calle de Peris Brell, Aiora, València;130000;0;5; exterior;77.0;0.0;1;39.4664775, -0.3468997;AIORA
18;Piso en calle de Berenguer Mallol, 4, Aiora, València;199000;0;5;  1ª exterior;100.0;1.0;1;39.4651195, -0.3448081;AIORA
19;Piso en calle de Ramiro de Maeztu, 35, Aiora, València;180000;0;4;  5ª exterior;102.0;1.0;1;39.4667408, -0.3453094;AIORA
20;Piso en calle de l'Alcalde Cano Coloma, Aiora, València;235000;2;4;  4ª interior;121.0;1.0;2;39.4662232, -0.3362533;AIORA
21;Ático en calle de joan baptista perales, Aiora, València;398000;0;4;  4ª exterior;128.0;1.0;2;39.46573283778116, -0.34335984023183125;AIORA
22;Piso en cano alcade coloma, s/n, Aiora, València;210000;0;4;  1ª interior;117.0;1.0;2;39.46573283778116, -0.34335984023183125;AIORA
23;Piso en calle Marino Albesa, Aiora, València;295000;0;3; Bajo exterior;150.0;0.0;1;39.4659127, -0.3450164;AIORA
24;Piso en calle dels Lleons, 27, Aiora, València;115000;0;3;  4ª exterior;74.0;0.0;1;39.4678648, -0.3477092;AIORA
25;Piso en calle del Mestre Valls, Aiora, València;180000;0;3;  5ª interior;75.0;1.0;1;39.4651018, -0.3417306;AIORA
26;Piso en Mestre Valls, Aiora, València;180000;0;3;  5ª interior;75.0;1.0;1;39.4651018, -0.3417306;AIORA
27;Piso en calle del Ferro, 29, Aiora, València;110000;0;3;  4ª exterior;67.0;0.0;1;39.4638891, -0.339693;AIORA
28;Piso en calle del Maestro Valls, Aiora, València;180000;0;3;  5ª interior;75.0;1.0;1;39.4651018, -0.3417306;AIORA
29;Piso en calle del Maestro Valls, Aiora, València;180000;14;3;  5ª interior;75.0;1.0;1;39.4651018, -0.3417306;AIORA
30;Piso en calle los Leones, Ciutat Jardí, València;148000;0;3;  1ª exterior;74.0;1.0;1;39.4678648, -0.3477092;AIORA
31;Piso en Floresta, Aiora, València;149900;0;3;  4ª exterior;84.0;1.0;1;39.4662897, -0.3490823;AIORA
32;Piso en calle Francisco de Bellvís, 17, Aiora, València;170000;0;3;  3ª exterior;80.0;1.0;1;39.4647266, -0.3404832;AIORA
33;Piso en calle los Leones, Aiora, València;175000;0;3;  2ª exterior;78.0;0.0;1;39.4678648, -0.3477092;AIORA
35;Piso en calle los Leones, Aiora, València;180000;0;3;  1ª exterior;78.0;0.0;1;39.4678648, -0.3477092;AIORA
36;Piso en calle Santos Justo y Pastor, Aiora, València;120000;4;3;  2ª exterior;75.0;1.0;1;39.4670872, -0.3393255;AIORA
38;Piso en calle los Leones, Aiora, València;177000;0;3;  1ª exterior;80.0;1.0;1;39.4678648, -0.3477092;AIORA
39;Piso en avenida del Port, Aiora, València;199000;0;3;  4ª exterior;93.0;1.0;1;39.46573283778116, -0.34335984023183125;AIORA
40;Piso en avenida del Port, Aiora, València;159500;0;3;  5ª interior;71.0;1.0;1;39.46573283778116, -0.34335984023183125;AIORA
41;Piso en avenida del Puerto, 97, Aiora, València;160000;0;3;  5ª interior;79.0;1.0;1;39.46549832309998, -0.3500011607379576;AIORA
42;Piso en calle Muñiz y h de Alba, Aiora, València;235000;0;3;  2ª exterior;126.0;1.0;2;39.46573283778116, -0.34335984023183125;AIORA
43;Piso en calle dels Sants Just i Pastor, Aiora, València;217007;0;3;  5ª exterior;101.0;1.0;2;39.4670872, -0.3393255;AIORA
44;Piso en calle de l'Humanista Furió, Aiora, València;195000;0;3;  7ª exterior;76.0;1.0;2;39.4678537, -0.345122;AIORA
45;Piso en avenida del Puerto, Aiora, València;180000;0;3;  1ª exterior;80.0;0.0;2;39.46573283778116, -0.34335984023183125;AIORA
46;Piso en avenida del Port, Aiora, València;365000;0;3;  3ª exterior;124.0;1.0;2;39.46573283778116, -0.34335984023183125;AIORA
47;Piso en calle Serrería, Aiora, València;320000;0;3;  5ª exterior;85.0;1.0;2;39.4631277, -0.3371717;AIORA
48;Piso en avenida del port, 197, Aiora, València;280000;0;3;  6ª exterior;135.0;1.0;2;39.463035110588656, -0.34123134910059333;AIORA
49;Piso en calle de la Pobla de Farnals, Aiora, València;189900;0;3; interior;75.0;0.0;3;39.46573283778116, -0.34335984023183125;AIORA
50;Ático en avenida del Puerto, Aiora, València;190000;0;2;  3ª exterior;75.0;0.0;1;39.46573283778116, -0.34335984023183125;AIORA
51;Piso en Francisco De Bellvis, Aiora, València;150000;0;2; Bajo exterior;100.0;0.0;1;39.4647266, -0.3404832;AIORA
52;Piso en Manuel Candela, 16, Aiora, València;200000;0;2;  1ª interior;65.0;1.0;1;39.4664806, -0.3506569;AIORA
