Name;Category;Province;City;Rating;Coordenadas
Restaurante Millenium;Restaurante;Valencia;Valencia;3,7;39.4999066, -0.4206593
FLOR DE AZAHAR;Restaurante;Valencia;Valencia;4,7;39.5038072, -0.4285903
Bar Restaurante López;Restaurante;Valencia;Valencia;4,1;39.5013321, -0.418808
"Cafetería Restaurante &quot;EL PARQUE&quot; (Benimamet)";Restaurante de comida casera;Valencia;Valencia;4,4;39.5020042, -0.4232241
Restaurante Duke;Restaurante chino;Valencia;Valencia;3,9;39.5036562, -0.4248537
Rte. Valencia;Restaurante;Valencia;Valencia;3,0;39.5021235, -0.4262765
Bar la toscana;Restaurante;Valencia;Valencia;4,0;39.506155, -0.4232573
Mesón Ferial;Restaurante;Valencia;Valencia;4,1;39.5020374, -0.4262438
La Taberneta;Bar;Valencia;Valencia;4,1;39.4974722, -0.4165035
"Restaurante Cel &amp; Terra";Restaurante;Valencia;Valencia;3,7;39.5038584, -0.4237201
Nice Rice Bistro;Restaurante;Valencia;Valencia;5,0;39.5041635, -0.4226537
Meson Las Tinajas;Restaurante;Valencia;Valencia;4,4;39.5009497, -0.4192763
A COMER. Comidas para llevar.;Restaurante de comida para llevar;Valencia;Valencia;3,8;39.5028699, -0.4193197
Nopar Servicios De Restauración Valenciana S A;Restaurante;Valencia;Valencia;;39.4953833, -0.4016171
Restaurante Feria Palace;Sala de banquetes;Valencia;Valencia;4,6;39.5065723, -0.427315
El Cantonet de Benimámet;Cafetería;Valencia;Valencia;4,5;39.50105, -0.4214299
Restaurante Bocateria;Restaurante;Valencia;Valencia;3,0;39.5016759, -0.4171014
La Terrasseta;Restaurante;Valencia;Paterna;4,1;39.5074214, -0.4286992
Blauet Restaurante;Restaurante;Valencia;Valencia;4,9;39.4955187, -0.406581
Bar Parsa Kebab Pizzeria;Tienda de kebabs;Valencia;Valencia;3,2;39.5000967, -0.4255903
ASADOR VILLAGODIO - Restaurante asador en Valencia - Chuleton a la brasa;Parrilla;Valencia;Valencia;4,3;39.4962275, -0.4010422
Bar Alcaide;Bar;Valencia;Valencia;4,1;39.5021279, -0.4216896
Restaurante Casa Quitin;Restaurante;Valencia;Burjasot;4,6;39.5035577, -0.415319
Mamet kebab pizzeria;Comida a domicilio;Valencia;Valencia;3,7;39.5025594, -0.4202403
Restaurant ABI;Restaurante mediterráneo;Valencia;Valencia;4,0;39.4194265, -0.3346069
Casa Montes;Restaurante;Valencia;Valencia;4,5;39.3832918, -0.3326103
Ca Pepe;Restaurante de cocina valenciana;Valencia;Valencia;4,1;39.3827163, -0.3324717
Restaurante La Barraca Parador Nacional de El Saler;Restaurante;Valencia;Valencia;4,2;39.3204365, -0.3015256
"Restaurant L&apos;horta";Restaurante;Valencia;Valencia;4,4;39.4309616, -0.3781737
Restaurante Bon Aire;Arrocería;Valencia;Valencia;4,6;39.3085574, -0.3176813
Restaurante la Huerta;Restaurante;Valencia;Valencia;4,2;39.4327098, -0.3915053
Restaurante Pinares 14;Restaurante;Valencia;Valencia;3,8;39.3829688, -0.332556
Casa Teresa;Arrocería;Valencia;Valencia;4,2;39.3835707, -0.332607
Restaurant Casa Borràs;Restaurante de cocina valenciana;Valencia;Valencia;4,0;39.4202593, -0.3400015
Tasca La tellina;Marisquería;Valencia;El Palmar;4,4;39.3085347, -0.3179692
Alquería de la Mar;Restaurante mediterráneo;Valencia;Valencia;4,5;39.4110183, -0.3346999
L’Estibador;Restaurante mediterráneo;Valencia;Valencia;4,2;39.3984597, -0.330019
Mystical Chef ©️®️™️🌐🌎🌍🌏;Restaurante;Valencia;Valencia;;39.3414974, -0.3200602
Arrosseria Vicent;Restaurante;Valencia;Valencia;3,6;39.3828307, -0.3326344
Gragera;Restaurante;Valencia;Valencia;4,3;39.4213264, -0.3391115
Restaurante Robert;Restaurante mediterráneo;Valencia;Valencia;4,3;39.383245, -0.332956
La Cambra dels Sentits;Restaurante mediterráneo;Valencia;El Palmar;4,7;39.3087378, -0.3179755
RESTAURANTE LAHIVER;Restaurante mediterráneo;Valencia;Valencia;4,3;39.3571322, -0.3216932
Bar Restaurante Retor;Restaurante;Valencia;Valencia;4,3;39.4283876, -0.3655973
"Restaurante L&apos;Illa";Restaurante de cocina valenciana;Valencia;Valencia;4,2;39.3104438, -0.318248
Canyes Restaurant;Arrocería;Valencia;Valencia;4,1;39.4216167, -0.3405778
Pizzería di marco;Pizzería;Valencia;Valencia;4,4;39.3835432, -0.3329151
Restaurante Tropical en Pinedo, València;Restaurante mediterráneo;Valencia;Valencia;3,9;39.4189078, -0.3346439
Restaurante Devesa Gardens;Restaurante;Valencia;Valencia;3,8;39.3225916, -0.3105043
Restaurante Pinedo Nova Conca;Restaurante de cocina valenciana;Valencia;Valencia;4,4;39.4226551, -0.3366214
Café Dalí València;Restaurante;Valencia;Valencia;4,4;39.4327098, -0.3915053
Vert I Blau;Restaurante mediterráneo;Valencia;Valencia;4,0;39.3036759, -0.292975
