Name;Category;Province;City;Rating;Coordenadas
Unide Valencia;Supermercado;València;Valencia;4,4;39.4733497, -0.3675847
Supermercados Dia;Supermercado;Valencia;Valencia;3,7;39.4726723, -0.379601
SUPERMERCADOS;Supermercado;Valencia;Valencia;1,9;39.4618028, -0.3736729
Carrefour Express;Supermercado;Valencia;Valencia;3,9;39.4637446, -0.3729262
Supermercado Dialprix;Supermercado;Valencia;Valencia;4,0;39.4697928, -0.37978
Dulce supermercado;Supermercado;Valencia;Valencia;;39.4618028, -0.3736729
Supermercado Dialprix;Supermercado;Valencia;Valencia;4,1;39.4725061, -0.3842895
ALDI;Supermercado de descuentos;Valencia;Valencia;4,3;39.4766326, -0.3506332
SUMA Express;Supermercado;Valencia;Valencia;3,9;39.461607, -0.362439
Supermercados Charter;Supermercado;Valencia;Valencia;3,8;39.4652896, -0.3753471
Supermercados Coviran;Supermercado;Valencia;Valencia;3,2;39.4543655, -0.3595715
Supermercados Consum;Supermercado;Valencia;Valencia;4,2;39.4710067, -0.380195
Suma Supermercados;Supermercado;Valencia;Valencia;3,9;39.484483, -0.3626441
Carrefour Express;Supermercado;Valencia;Valencia;4,2;39.4708576, -0.3488663
Mercadona;Supermercado;Valencia;Valencia;4,2;39.4484024, -0.3887973
Supermercado Fruteria y Alimentacion;Supermercado;Valencia;Valencia;3,3;39.4698544, -0.3667181
masymas;Supermercado;Valencia;Valencia;4,1;39.4661071, -0.3567714
Suma Supermercados;Supermercado;Valencia;Valencia;4,4;39.4693963, -0.3892014
Market;Supermercado;Valencia;Valencia;3,7;39.4604284, -0.3736768
Coaliment;Supermercado;Valencia;Valencia;3,8;39.466079, -0.32913
masymas;Supermercado;Valencia;Valencia;4,0;39.4581385, -0.3604014
Supermercados Consum;Supermercado;Valencia;Valencia;4,2;39.4868115, -0.373199
Supermercados Dia;Supermercado;Valencia;Valencia;3,9;39.4848543, -0.3579851
Kuups Supermercados;Supermercado;Valencia;Valencia;4,0;39.4726001, -0.3377974
Supermercado diario;Supermercado;Valencia;Valencia;3,7;39.4661121, -0.3794886
Supermercados Dia;Supermercado;Valencia;Valencia;3,9;39.47338, -0.3913356
Supermercados Charter;Supermercado;Valencia;Valencia;4,1;39.4580852, -0.3733955
ALDI;Supermercado de descuentos;Valencia;Valencia;4,1;39.4694016, -0.3914922
Mercadona;Supermercado;Valencia;Valencia;4,1;39.4821727, -0.3608788
SERVICIO VLC;Supermercado;Valencia;Valencia;;39.4580326, -0.3631812
Supermercado charter;Supermercado;Valencia;Valencia;3,1;39.4649873, -0.3862028
Supermercados Dia;Supermercado;Valencia;Valencia;4,0;39.476919, -0.3828414
Supermercados Charter;Supermercado;Valencia;Valencia;4,3;39.4806555, -0.3801533
Mercadona;Supermercado;Valencia;Valencia;4,1;39.4598321, -0.3741261
Supermercados Dia;Supermercado;Valencia;Valencia;3,8;39.4608929, -0.363607
Supermercados Charter;Supermercado;Valencia;Valencia;4,2;39.4887674, -0.3703997
Supermercados Dia;Supermercado;Valencia;Valencia;3,9;39.4649001, -0.3485281
Supercor Exprés;Supermercado;Valencia;Valencia;3,8;39.4761039, -0.3472951
Supermercados Consum;Supermercado;Valencia;Valencia;4,2;39.4760684, -0.3479415
